U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1105001;Head of State;Yang Jingyu;1930;1950;1999;LWR;Resigned Generalissimo;High;9958;X
1105002;Head of Government;Zhou Baozhong;1930;1950;1999;LWR;Old General;High;9959;X
1105003;Foreign Minister;Zhao Shangzhi;1930;1950;1999;LWR;Ideological Crusader;High;9960;X
1105004;Minister of Armament;Wang Ming;1930;1950;1999;ST;Military Entrepreneur;High;9961;X
1105005;Minister of Security;Zhou Baozhong;1930;1950;1999;LWR;Man of the People;High;9959;X
1105006;Head of Military Intelligence;Kang Sheng;1930;1950;1999;ST;Political Specialist;High;9962;X
1105007;Chief of Staff;Yang Jingyu;1930;1950;1999;LWR;School of Psychology;High;9958;X
1105008;Chief of Army;Li Zhaolin;1930;1950;1999;LWR;Elastic Defence Doctrine;High;9963;X
1105009;Chief of Navy;Kim Il Sung;1930;1950;1999;LWR;Indirect Approach Doctrine;High;9964;X
1105010;Chief of Air Force;Kim Il Sung;1930;1950;1999;LWR;Army Aviation Doctrine;High;9964;X
