U60;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1146001;Head of State;Shang Zhen;1933;1964;1999;PA;resigned generalissimo;High;L50253;X
1146002;Head of Government;Shang Zhen;1933;1964;1999;PA;silent workhorse;High;L50253;X
1146003;Foreign Minister;Guo Zhongwei;1933;1964;1999;PA;the cloak n dagger schemer;High;MS2;X
1146004;Minister of Armament;Bie Tingfang;1933;1964;1999;PA;administrative genius;High;MS3;X
1146005;Minister of Security;Peng Jinzhi;1933;1964;1999;PA;crime fighter;High;MS4;X
1146006;Head of Military Intelligence;Chen Fangxian;1933;1964;1999;PA;technical specialist;High;MS5;X
1146007;Chief of Staff;Peng Jinzhi;1933;1964;1999;PA;school of manoeuvre;High;MS4;X
1146008;Chief of Army;Peng Jinzhi;1933;1964;1999;PA;static defence doctrine;High;MS4;X
1146009;Chief of Navy;Liang Hongen;1933;1964;1999;PA;undistinguished suit;High;MS6;X
1146010;Chief of Air Force;Liang Hongen;1933;1964;1999;PA;army aviation doctrine;High;MS6;X
