U52;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
500;Head of State;Lluis Companys i Jover;1932;1964;1964;LWR;Die-hard Reformer;Medium;M500;X
501;Head of Government;Josep Dencas i Puigdollers;1932;1964;1964;LWR;Corporate Suit;Medium;M501;X
502;Foreign Minister;Ventura Gassol i Rovira;1932;1964;1964;SD;Ideological Crusader;Medium;M502;X
503;Minister of Armament;Joan Comorera i Soler;1932;1964;1964;LE;Theoretical Scientist;Medium;M503;X
504;Minister of Security;Joan Lluhi i Vallesca;1932;1964;1964;LE;Silent Lawyer;Medium;M504;X
505;Head of Military Intelligence;Martí Esteve i Guau;1932;1964;1964;LWR;Industrial Specialist;Medium;M505;X
506;Chief of Staff;Lluis Companys i Jover;1932;1964;1964;LWR;School of Psychology;Medium;M500;X
507;Chief of Army;Martí Barrera i Maresma;1932;1964;1964;LE;Elastic Defence Doctrine;Medium;M507;X
508;Chief of Navy;Joan Lluhi i Vallesca;1932;1964;1964;LE;Base Control Doctrine;Medium;M504;X
509;Chief of Air Force;Josep Canudas i Busquets;1932;1964;1964;LWR;Air Superiority Doctrine;Medium;M509;X
510;Head of State;Josep Irla;1932;1964;1964;LE;Ruthless Powermonger;Medium;M510;X
511;Foreign Minister;Andreu Nin;1932;1964;1964;LE;Ideological Crusader;Medium;M511;X
512;Foreign Minister;Francesc Cambo i Batlle;1932;1964;1964;SD;Biased Intellectual;Medium;M512;X
513;Minister of Armament;Josep Tarradellas;1932;1964;1964;ML;Resource Industrialist;Medium;M513;X
514;Minister of Security;Felipe Alaiz;1932;1964;1964;ST;Compassionate Gentleman;Medium;M514;X
515;Head of Military Intelligence;Mariano Anso Zungarren;1932;1964;1964;ML;Naval Intelligence Specialist;Medium;M515;X
516;Chief of Staff;Enrique Perez Farras;1932;1964;1964;SD;School of Defence;Medium;M516;X
517;Chief of Army;Domenech Batet Mestre;1932;1964;1964;SL;Decisive Battle Doctrine;Medium;M517;X
518;Chief of Navy;Pere Bosch Gimpera;1932;1964;1964;ST;Power Projection Doctrine;Medium;M518;X
519;Chief of Air Force;Felip Díaz i Sandino;1932;1964;1964;SD;Air Superiority Doctrine;Medium;M519;X
520;Head of State;Josep Tarradellas;1932;1964;1964;ML;Popular Figurehead;Medium;M513;X
521;Head of Government;Carles Pi Sunyer;1932;1964;1964;SL;Silent Workhorse;Medium;M521;X
522;Foreign Minister;Federica Montseny;1932;1964;1964;LE;Ideological Crusader;Medium;M522;X
523;Minister of Armament;Diego Abad de Santillan;1932;1964;1964;LE;Military Entrepreneur;Medium;M523;X
524;Minister of Security;Artemi Aiguade i  Miro;1932;1964;1964;LWR;Compassionate Gentleman;Medium;M524;X
525;Head of Military Intelligence;Vicent Guarner Vivancos;1932;1964;1964;SD;Logistics Specialist;Medium;M525;X
526;Chief of Staff;Josep Moix Regas;1932;1964;1964;LE;School of Manoeuvre;Medium;M526;X
527;Chief of Army;Frederic Escofet i Alsina;1932;1964;1964;ST;Elastic Defence Doctrine;Medium;M527;X
528;Chief of Navy;Josep Tarradellas;1932;1964;1964;ML;Base Control Doctrine;Medium;M513;X
529;Chief of Air Force;Mari Pepa Colomer;1932;1964;1964;LE;Army Aviation Doctrine;Medium;M529;X
530;Head of State;Manuel Serra i Moret;1932;1964;1964;SL;Benevolent Gentleman;Medium;M530;X
531;Foreign Minister;Dolors Bargalló;1932;1964;1964;ST;Ideological Crusader;Medium;M531;X
532;Minister of Armament;Joan Cordunella Barbera;1932;1964;1964;ST;Administrative Genius;Medium;M532;X
533;Minister of Security;Jose Maria Benet Capará i Rotés;1932;1964;1964;SL;Prince of Terror;Medium;M533;X
534;Head of Military Intelligence;Lluis Nicolau D'Olwer;1932;1964;1964;LE;Industrial Specialist;Medium;M534;X
535;Chief of Staff;Lluis Prunes Sato;1932;1964;1964;ST;School of Defence;Medium;M535;X
536;Chief of Army;Jaume Bosch i Grassi;1932;1964;1964;SD;Guns and Butter Doctrine;Medium;M536;X
537;Chief of Navy;Diego Abad de Santillan;1932;1964;1964;LE;Base Control Doctrine;Medium;M523;X
538;Chief of Air Force;Joan Comas Borras;1932;1964;1964;LE;Vertical Envelopment Doctrine;Medium;M538;X
539;Head of State;Joaquín Maurín Juliá;1932;1964;1964;ST;Die-hard Reformer;Medium;M539;X
540;Head of Government;Julian Gorkin;1932;1964;1964;LE;Ambitious Union Boss;Medium;M540;X
