U00;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1146301;Head of State;Han Fuju;1933;1964;1999;PA;powerhungry demagogue;High;MS30;X
1146302;Head of Government;Li Shuchun;1933;1964;1999;PA;Political Protege;High;MS31;X
1146303;Foreign Minister;Sun Dianying;1933;1964;1999;PA;the cloak n dagger schemer;High;MS32;X
1146304;Minister of Armament;Wang Xiangrong;1933;1964;1999;PA;corrupt kleptocrat;High;MS33;X
1146305;Minister of Security;Han Fuju;1933;1964;1999;PA;crooked kleptocrat;High;MS30;X
1146306;Head of Military Intelligence;Gu Liangmin;1933;1964;1999;PA;technical specialist;High;MS34;X
1146307;Chief of Staff;Liu Shuxiang;1933;1964;1999;PA;school of manoeuvre;High;MS35;X
1146308;Chief of Army;Sun Tongxuan;1933;1964;1999;PA;guns and butter doctrine;High;L50269;X
1146309;Chief of Navy;Han Fuju;1933;1964;1999;PA;undistinguished suit;High;MS30;X
1146310;Chief of Air Force;Han Fuju;1933;1964;1999;PA;army aviation doctrine;High;MS30;X
