U80;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147301;Head of State;Hari Singh;1933;1964;1999;SC;benevolent gentleman;High;MS130;X
1147302;Head of Government;Sir N. Gopalaswami Ayyangar;1933;1964;1999;SC;silent workhorse;High;MS131;X
1147303;Foreign Minister;Sir Benegal Narsing Rau;1933;1964;1999;SC;great compromiser;High;MS132;X
1147304;Minister of Armament;Ram Chandra Kak;1933;1964;1999;SC;resource industrialist;High;MS133;X
1147305;Minister of Security;Mehr Chand Mahajan;1933;1964;1999;SC;silent lawyer;High;MS134;X
1147306;Head of Military Intelligence;Sir Ganga Ram Agarwal;1933;1964;1999;SC;dismal enigma;High;MS135;X
1147307;Chief of Staff;Henry Lawrence Scott;1933;1964;1999;SC;school of defence;High;MS136;X
1147308;Chief of Army;Kashmir Singh Katoch;1933;1964;1999;SC;elastic defence doctrine;High;MS137;X
1147309;Chief of Navy;Hari Singh;1933;1964;1999;SC;indirect approach doctrine;High;MS130;X
1147310;Chief of Air Force;Hari Singh;1933;1964;1999;SC;air superiority doctrine;High;MS130;X
