U68;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1148401;Head of State;Tashi Namgyal;1933;1964;1999;SC;benevolent gentleman;High;MS240;X
1148402;Head of Government;Sir Basil John Gould;1933;1964;1999;SC;silent workhorse;High;MS241;X
1148403;Foreign Minister;Kazi Tashi Dadul Densapa;1933;1964;1999;SC;great compromiser;High;MS242;X
1148404;Minister of Armament;Kazi Tashi Dadul Densapa;1933;1964;1999;SC;resource industrialist;High;MS242;X
1148405;Minister of Security;Atal Singh Dewan;1933;1964;1999;SC;silent lawyer;High;MS243;X
1148406;Head of Military Intelligence;Hugh Edward Richardson;1933;1964;1999;SC;dismal enigma;High;MS244;X
1148407;Chief of Staff;Frederick Williamson;1933;1964;1999;SC;school of defence;High;MS245;X
1148408;Chief of Army;Prince Paljor Namgyal;1933;1964;1999;SC;guns and butter doctrine;High;MS246;X
1148409;Chief of Navy;Tashi Namgyal;1933;1964;1999;SC;indirect approach doctrine;High;MS240;X
1148410;Chief of Air Force;Prince Paljor Namgyal;1933;1964;1999;SC;air superiority doctrine;High;MS246;X
