U40;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147201;Head of State;Krishnaraja Wadiyar IV;1933;1964;1999;SC;benevolent gentleman;High;MS120;X
1147202;Head of Government;Sir Mirza Ismail;1933;1964;1999;SC;silent workhorse;High;MS121;X
1147203;Foreign Minister;Sir Mirza Ismail;1933;1964;1999;SC;great compromiser;High;MS121;X
1147204;Minister of Armament;M. A. Sreenivasan;1933;1964;1999;SC;resource industrialist;High;MS122;X
1147205;Minister of Security;N. Madhava Rao;1933;1964;1999;SC;silent lawyer;High;MS123;X
1147206;Head of Military Intelligence;K. S. Chandrasekharan;1933;1964;1999;SC;dismal enigma;High;MS124;X
1147207;Chief of Staff;K. S. Thimayya;1933;1964;1999;SC;school of defence;High;MS125;X
1147208;Chief of Army;N. Madhava Rao;1933;1964;1999;SC;guns and butter doctrine;High;MS123;X
1147209;Chief of Navy;Krishnaraja Wadiyar IV;1933;1964;1999;SC;indirect approach doctrine;High;MS120;X
1147210;Chief of Air Force;Krishnaraja Wadiyar IV;1933;1964;1999;SC;air superiority doctrine;High;MS120;X
