U00;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1146501;Head of State;Liu Wenhui;1933;1964;1999;PA;autocratic charmer;High;L50218;X
1146502;Head of Government;Liu Wenhui;1933;1964;1999;PA;silent workhorse;High;L50218;X
1146503;Foreign Minister;Kesang Tsering;1933;1964;1999;PA;apologetic clerk;High;MS60;X
1146504;Minister of Armament;Ma Xiao;1933;1964;1999;PA;administrative genius;High;MS61;X
1146505;Minister of Security;Xiang Chuanyi;1933;1964;1999;PA;silent lawyer;High;MS62;X
1146506;Head of Military Intelligence;Zhang Weijiong;1933;1964;1999;PA;logistics specialist;High;MS63;X
1146507;Chief of Staff;Wu Peiying;1933;1964;1999;PA;school of defence;High;MS64;X
1146508;Chief of Army;Liu Wenhui;1933;1964;1999;PA;elastic defence doctrine;High;L50218;X
1146509;Chief of Navy;Liu Wenhui;1933;1964;1999;PA;undistinguished suit;High;L50218;X
1146510;Chief of Air Force;Liu Wenhui;1933;1964;1999;PA;vertical envelopment doctrine;High;L50218;X
