U65;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;
;Replacements;;;;;;;;;X;
1146701;Head of State;Fu Zuoyi;1933;1964;1999;PA;Resigned Generalissimo;High;L50085;X;
1146702;Head of Government;Fu Zuoyi;1933;1964;1999;PA;silent workhorse;High;L50085;X;
1146703;Foreign Minister;Su Kaiyuan;1933;1964;1999;PA;biased intellectual;High;MS80;X;
1146704;Minister of Armament;Wang Jingguo;1933;1964;1999;PA;administrative genius;High;L50314;X;
1146705;Minister of Security;Zhao Chengshou;1933;1964;1999;PA;crime fighter;High;L50021;X;
1146706;Head of Military Intelligence;Li Fuying;1933;1964;1999;PA;logistics specialist;High;MS81;X;
1146707;Chief of Staff;Fu Zuoyi;1933;1964;1999;PA;school of manoeuvre;High;L50085;X;
1146708;Chief of Army;Tang Enbo;1933;1964;1999;PA;elastic defence doctrine;High;L50278;X;
1146709;Chief of Navy;Fu Zuoyi;1933;1964;1999;PA;undistinguished suit;High;L50085;X;
1146710;Chief of Air Force;Fu Zuoyi;1933;1964;1999;PA;army aviation doctrine;High;L50085;X;
