U64;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;
;Replacements;;;;;;;;;X;
1146801;Head of State;Liu Xiang;1933;1964;1999;PA;powerhungry demagogue;High;L50207;X;
1146802;Head of Government;Deng Hanxiang;1933;1964;1999;PA;political protege;High;MS90;X;
1146803;Foreign Minister;Yang Sen;1933;1964;1999;PA;biased intellectual;High;L50343;X;
1146804;Minister of Armament;Liu Hangchen;1933;1964;1999;PA;laissez-faire capitalist;High;MS91;X;
1146805;Minister of Security;Li Jiayu;1933;1964;1999;PA;prince of terror;High;L50171;X;
1146806;Head of Military Intelligence;Kang Tse;1933;1964;1999;PA;industrial specialist;High;MS92;X;
1146807;Chief of Staff;Zhong Tiqian;1933;1964;1999;PA;school of mass combat;High;MS93;X;
1146808;Chief of Army;Deng Xihou;1933;1964;1999;PA;armoured spearhead doctrine;High;L50284;X;
1146809;Chief of Navy;Jiang Kui;1933;1964;1999;PA;undistinguished suit;High;MS94;X;
1146810;Chief of Air Force;Tian Songyao;1933;1964;1999;PA;army aviation doctrine;High;MS95;X;
