U37;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147001;Head of State;Mir Osman Ali Khan;1933;1964;1999;SC;stern imperialist;High;MS100;X
1147002;Head of Government;Maharaja Sir Kishen Pershad;1933;1964;1999;SC;silent workhorse;High;MS101;X
1147003;Foreign Minister;Nawab Sir Akbar Hydari;1933;1964;1999;SC;great compromiser;High;MS102;X
1147004;Minister of Armament;Nawab Sir Akbar Hydari;1933;1964;1999;SC;administrative genius;High;MS102;X
1147005;Minister of Security;Qasim Razvi;1933;1964;1999;SC;prince of terror;High;MS103;X
1147006;Head of Military Intelligence;Nawab Muhammad Ali Beg;1933;1964;1999;SC;dismal enigma;High;MS105;X
1147007;Chief of Staff;Nawab Muhammad Ali Beg;1933;1964;1999;SC;school of manoeuvre;High;MS105;X
1147008;Chief of Army;Syed Ahmed El-Edroos;1933;1964;1999;SC;guns and butter doctrine;High;MS104;X
1147009;Chief of Navy;Mir Osman Ali Khan;1933;1964;1999;SC;indirect approach doctrine;High;MS100;X
1147010;Chief of Air Force;Mir Osman Ali Khan;1933;1964;1999;SC;naval aviation doctrine;High;MS100;X
