U27;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
950001;Chief of Air Force;Josip Broz;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M20028;X
950002;Head of State;Josip Broz;1933;1964;1999;LE;Powerhungry Demagogue;High;M20021;X
950003;Head of Government;Josip Broz;1933;1964;1999;LE;Old General;High;M20021;X
950004;Foreign Minister;Stanoje Simic;1933;1964;1999;LE;Great Compromiser;Medium;M20023;X
950005;Minister of Armament;Milentije Popovic;1933;1964;1999;LE;Military Entrepreneur;High;M20024;X
950006;Head of Military Intelligence;Aleksandar Rankovic;1933;1964;1999;LWR;Dismal Enigma;High;M20026;X
950007;Chief of Staff;Arsa Jovanovic;1933;1964;1999;LE;School of Mass Combat;Medium;M20075;X
950008;Chief of Air Force;Ivan Ribar;1933;1964;1999;LE;Air Superiority Doctrine;High;M20093;X
950009;Chief of Staff;Koca Popovic;1933;1964;1999;LE;School of Mass Combat;High;M20025;X
950010;Chief of Army;Josip Broz;1933;1964;1999;LE;Guns And Butter Doctrine;High;M20028;X
950011;Chief of Navy;Josip Broz;1933;1964;1999;LE;Indirect Approach Doctrine;High;M20029;X
950012;Foreign Minister;Koca Popovic;1953;1964;1999;LE;The Cloak N Dagger Schemer;Very High;M20025;X
950013;Minister of Armament;Ivan Gosnjak;1953;1964;1999;LE;Infantry Proponent;High;M20104;X
950014;Minister of Security;Vladimir Simic;1933;1964;1999;LE;Compassionate Gentleman;Medium;M20105;X
950015;Head of Military Intelligence;Milovan Djilas;1953;1964;1999;LWR;Political Specialist;High;M20106;X
950016;Minister of Security;Aleksandar Rankovic;1933;1964;1999;LWR;Secret police chief;High;M20026;X
950017;Head of State;Ivan Ribar;1933;1964;1999;LE;Benevolent Gentleman;High;M20093;X
