U42;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1025001;Head of State;Hasan Israilov;1933;1964;1999;PA;resigned generalissimo;Very High;MS310;X
1025002;Head of Government;Mairbek Sheripov;1933;1964;1999;PA;silent workhorse;Very High;MS311;X
1025003;Foreign Minister;Vassan-Girey Dzhabagiev;1933;1964;1999;ML;great compromiser;Medium;MS312;X
1025004;Minister of Armament;Haidar Bammat;1933;1964;1999;ML;laissez-faire capitalist;Medium;MS314;X
1025005;Minister of Security;Nukh-bek Tarkovskiy;1933;1964;1999;PA;prince of terror;Very High;MS313;X
1025006;Head of Military Intelligence;Alikhan Gantemir;1933;1964;1999;PA;political specialist;Very High;MS315;X
1025007;Chief of Staff;Mairbek Sheripov;1933;1964;1999;PA;school of manoeuvre;Very High;MS311;X
1025008;Chief of Army;Hasan Israilov;1933;1964;1999;PA;elastic defence doctrine;Very High;MS310;X
1025009;Chief of Navy;Hasan Israilov;1933;1964;1999;PA;undistinguished suit;High;MS310;X
1025010;Chief of Air Force;Mairbek Sheripov;1933;1964;1999;PA;army aviation doctrine;Very High;MS311;X
1025011;Head of State;Magomed Mamakaev;1933;1964;1999;LWR;autocratic charmer;Very High;MS316;X
1025012;Head of Government;Said Shamil;1933;1964;1999;SC;old general;Very High;MS317;X
1025013;Foreign Minister;Haidar Bammat;1933;1964;1999;ML;biased intellectual;Medium;MS314;X
1025014;Minister of Armament;Adil-Gerey Daidbekov;1933;1964;1999;SL;resource industrialist;Medium;MS318;X
1025015;Minister of Security;Muhiddin Penzulayev;1933;1964;1999;PA;efficient sociopath;Very High;MS319;X
1025016;Head of Military Intelligence;Khadzhi-Murat Gakaev;1933;1964;1999;PA;technical specialist;Very High;MS32;X
1025017;Chief of Staff;Hasan Israilov;1933;1964;1999;PA;school of mass combat;Very High;MS310;X
1025018;Chief of Army;Magomed Mamakaev;1933;1964;1999;LWR;decisive battle doctrine;Very High;MS316;X
1025019;Chief of Navy;Magomed Mamakaev;1933;1964;1999;LWR;undistinguished suit;High;MS316;X
1025020;Chief of Air Force;Khasan Isayev;1933;1964;1999;PA;air superiority doctrine;Very High;MS310;X
