Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Braun;1105001;U58;1930;1990;1990;1990;3;4;64;1;0;4;0;L76300;1930;1939;1999;x
Zhang Qinqiu;1105002;U58;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1930;1943;1999;x
Zhang Guotao;1105003;U58;1924;1924;1924;1990;1;4;0;4;0;1;0;L76302;1924;1937;1999;x
Chang Dingcheng;1105004;U58;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1970;1999;x
Chang Yunyi;1105005;U58;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1970;1999;x
Zhao Shangzhi;1105006;U58;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1930;1946;1999;x
Zhao Yiman;1105007;U58;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1970;1999;x
Chen Changhao;1105008;U58;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1930;1970;1999;x
Chen Geng;1105009;U58;1941;1945;1955;1990;3;4;0;2;0;4;0;312;1941;1961;1999;x
Chen Guang;1105010;U58;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1954;1999;x
Chen Yi;1105011;U58;1924;1924;1942;1990;1;7;68;3;0;4;0;313;1924;1970;1999;x
Zhou Enlai;1105012;U58;1924;1924;1924;1990;1;4;1;2;0;4;0;314;1924;1970;1999;x
Zhu De;1105013;U58;1924;1924;1924;1946;1;8;0;4;0;4;0;L76312;1924;1976;1999;x
He Long;1105014;U58;1927;1937;1990;1990;2;6;0;2;0;3;0;315;1927;1969;1999;x
Xiang Ying;1105015;U58;1930;1990;1990;1990;3;4;0;1;0;4;0;316;1930;1941;1999;x
Xu Haidong;1105016;U58;1936;1938;1990;1990;2;4;0;2;0;4;0;317;1936;1970;1999;x
Xu Xiangqian;1105017;U58;1940;1943;1990;1990;2;4;0;2;0;4;0;318;1940;1990;1999;x
Xu Guangda;1105018;U58;1939;1942;1947;1990;2;5;0;3;0;4;0;L76317;1939;1970;1999;x
Huang Kecheng;1105019;U58;1940;1945;1990;1990;3;4;0;2;0;4;0;319;1940;1986;1999;x
Gao Gang;1105020;U58;1930;1990;1990;1990;3;4;16;1;0;4;0;320;1930;1945;1999;x
Kim Weon-bong;1105021;U58;1940;1990;1990;1990;3;4;0;1;0;2;0;L76320;1940;1944;1999;x
Li Chen;1105022;U58;1943;1990;1990;1990;3;4;16;1;0;4;0;L76321;1943;1970;1999;x
Li Xiannian;1105023;U58;1930;1930;1940;1990;1;4;0;2;0;4;0;321;1930;1970;1999;x
Li Youbang;1105024;U58;1938;1990;1990;1990;3;4;1;1;0;4;0;L76323;1938;1946;1999;x
Lin Biao;1105025;U58;1930;1942;1955;1957;1;8;18;5;0;3;0;L76324;1930;1971;1999;x
Liu Bocheng;1105026;U58;1931;1944;1990;1990;2;4;5;1;0;4;0;322;1931;1986;1999;x
Luo Ruijing;1105027;U58;1945;1990;1990;1990;3;4;0;1;0;4;0;323;1945;1970;1999;x
Luo Ronghuan;1105028;U58;1938;1944;1990;1990;2;4;0;2;0;4;0;324;1938;1970;1999;x
Luo Binghui;1105029;U58;1930;1990;1990;1990;3;5;0;1;0;4;0;L76329;1930;1970;1999;x
Ma Benzhai;1105030;U58;1930;1990;1990;1990;3;4;0;1;0;4;0;L76330;1930;1941;1999;x
Mao Zedong;1105031;U58;1924;1924;1924;1924;0;5;16;3;0;5;0;325;1924;1970;1999;x
Mu Jong;1105032;U58;1930;1939;1990;1990;2;6;64;2;0;5;0;L76332;1930;1970;1999;x
Nie Rongzhen;1105033;U58;1941;1946;1990;1990;3;6;5;2;0;4;0;326;1941;1992;1999;x
Nguyen Ai Quoc;1105034;U58;1930;1990;1990;1990;3;7;16;3;0;2;0;327;1930;1944;1999;x
Peng Xuefeng;1105035;U58;1930;1990;1990;1990;3;4;2;1;0;4;0;L76335;1930;1942;1999;x
Peng Dehuai;1105036;U58;1939;1942;1990;1990;2;6;256;2;0;3;0;L76336;1939;1974;1999;x
Su Yu;1105037;U58;1941;1990;1990;1990;3;4;4;1;0;4;0;328;1941;1970;1999;x
Sun Yup Paik;1105038;U58;1939;1990;1990;1990;3;5;16;1;0;5;0;L76338;1939;1945;1999;x
Tan Zheng;1105039;U58;1930;1941;1947;1990;2;4;0;3;0;4;0;L76339;1930;1970;1999;x
Deng Xiaoping;1105040;U58;1938;1940;1942;1990;1;4;16;3;0;3;0;L76340;1938;1970;1999;x
