U33;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
980001;GNAF;T1500;4;1900;1970;aeronautics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980002;OASA;T1501;4;1900;1970;industrial_engineering;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980003;Hellenic Naval Shipyard;T1502;4;1900;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980004;SPAP;T1503;5;1882;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980005;Infantry Application School;T1505;4;1900;1960;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980006;Artillery Ballistics School;T1506;3;1900;1960;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980007;Laurium Smelting Works;100152;4;1824;1970;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980008;Salamis Naval Yard;100153;4;1824;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980009;Hellenic People's Army;100154;5;1824;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980010;Basileiades;100893;4;1859;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980011;Basileiades Shipyards;100902;4;1896;1953;mechanics;technical_efficiency;general_equipment;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980012;National Metsovian Polytechnic;100895;3;1914;1970;electronics;technical_efficiency;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980013;EEPK;100896;4;1874;1960;general_equipment;chemistry;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980014;Chropei;100897;3;1883;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980015;Evelpidon Military Academy;100903;4;1900;1970;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980016;Scholi Nautikon Dokimon;100904;4;1884;1970;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980017;AEEHPL;100892;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980018;Tangalakis;100894;2;1925;1970;mechanics;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980019;KEA;100898;4;1925;1970;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
980020;Air Force School;100901;4;1931;1970;fighter_tactics;aircraft_testing;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
